NodeType,NodeEID,NodeLabel,HabQuantity,HabUnits,BarrierPerm,NaturalTF,DownstreamEID,DownstreamNodeLabel,DownstreamNeighDistance,DistanceUnits
Barrier,694,100012,277.53,Metres,0,F,692,968,277.53,Metres
Barrier,705,100018,974.56,Metres,0,F,692,968,974.56,Metres
Branch Junction,737,30,1156.53,Metres,1,F,401,300059,1156.53,Metres
Barrier,406,400004,5.16,Metres,0,F,404,100019,5.16,Metres
Source Junction,835,141,359.49,Metres,1,F,832,151,359.49,Metres
Barrier,851,100030,1065.05,Metres,0,F,832,151,1065.05,Metres
Branch Junction,794,271,679.87,Metres,1,F,447,100017,679.87,Metres
Barrier,817,300166,407.11,Metres,1,F,804,345,407.11,Metres
Barrier,822,300167,802.42,Metres,1,F,804,345,802.42,Metres
Branch Junction,810,433,94.42,Metres,1,F,809,429,94.42,Metres
Branch Junction,811,412,615.09,Metres,1,F,809,429,615.09,Metres
Branch Junction,624,541,235.59,Metres,1,F,622,550,235.59,Metres
Source Junction,626,581,559.64,Metres,1,F,622,550,559.64,Metres
Source Junction,1108,463,1352.67,Metres,1,F,1056,300124,1352.67,Metres
Barrier,1221,300205,1256.44,Metres,1,F,717,300085,1256.44,Metres
Barrier,732,300206,198.86,Metres,1,F,726,300202,198.86,Metres
Barrier,635,100013,14.45,Metres,1,F,633,647,14.45,Metres
Barrier,1065,300011,1301.33,Metres,1,F,633,647,1301.33,Metres
Source Junction,640,767,50.86,Metres,1,F,639,756,50.86,Metres
Source Junction,1076,714,1203.19,Metres,1,F,639,756,1203.19,Metres
Source Junction,1104,778,943.16,Metres,1,F,1085,859,943.16,Metres
Source Junction,1105,858,402.52,Metres,1,F,1085,859,402.52,Metres
Branch Junction,1177,883,200.29,Metres,1,F,1176,892,200.29,Metres
Barrier,1215,300121,1443.72,Metres,1,F,1176,892,1443.72,Metres
Branch Junction,696,1012,40.68,Metres,1,F,694,100012,40.68,Metres
Branch Junction,1181,1059,720.23,Metres,1,F,705,100018,720.23,Metres
Barrier,739,100023,407.19,Metres,0,F,737,30,407.19,Metres
Barrier,743,300141,423.76,Metres,1,F,737,30,423.76,Metres
Branch Junction,409,89,163.07,Metres,1,F,406,400004,163.07,Metres
Branch Junction,858,133,270.57,Metres,1,F,851,100030,270.57,Metres
Branch Junction,796,228,528.49,Metres,1,F,794,271,528.49,Metres
Source Junction,802,303,657.09,Metres,1,F,794,271,657.09,Metres
Barrier,886,300168,856.49,Metres,1,F,822,300167,856.49,Metres
Source Junction,825,445,688.55,Metres,1,F,810,433,688.55,Metres
Source Junction,1058,452,260.4,Metres,1,F,810,433,260.4,Metres
Branch Junction,824,420,413.27,Metres,1,F,811,412,413.27,Metres
Source Junction,826,436,543.9,Metres,1,F,811,412,543.9,Metres
Source Junction,625,563,315.23,Metres,1,F,624,541,315.23,Metres
Branch Junction,627,512,804.76,Metres,1,F,624,541,804.76,Metres
Source Junction,1223,1236,3052.17,Metres,1,F,1221,300205,3052.17,Metres
Source Junction,734,1254,148.62,Metres,1,F,732,300206,148.62,Metres
Branch Junction,1077,675,1197,Metres,1,F,635,100013,1197,Metres
Barrier,1068,300135,29.1,Metres,1,F,1065,300011,29.1,Metres
Source Junction,1184,868,223.28,Metres,1,F,1177,883,223.28,Metres
Branch Junction,1187,905,355.14,Metres,1,F,1177,883,355.14,Metres
Barrier,1216,300144,14.58,Metres,1,F,1215,300121,14.58,Metres
Source Junction,701,1021,79.93,Metres,1,F,696,1012,79.93,Metres
Branch Junction,702,1033,135.62,Metres,1,F,696,1012,135.62,Metres
Branch Junction,1218,1093,993.27,Metres,1,F,1181,1059,993.27,Metres
Source Junction,1219,1133,483.85,Metres,1,F,1181,1059,483.85,Metres
Branch Junction,744,13,418.41,Metres,1,F,739,100023,418.41,Metres
Branch Junction,770,14,1432.62,Metres,1,F,743,300141,1432.62,Metres
Branch Junction,748,78,326.56,Metres,1,F,409,89,326.56,Metres
Source Junction,749,98,417.82,Metres,1,F,409,89,417.82,Metres
